																Vergleich der Annotator:innen										Vergleich der Annotator:innen mit Goldstandard von Alina			
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
schmaler	O	schmaler	0	schmaler	0	0	0	schmaler	0	schmaler	0	0	0	schmaler	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Wiesengrund	O	Wiesengrund	0	Wiesengrund	0	0	0	Wiesengrund	0	Wiesengrund	0	0	0	Wiesengrund	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kleine	O	kleine	0	kleine	0	0	0	kleine	0	kleine	0	0	0	kleine	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Quellen	O	Quellen	0	Quellen	1	0	0	Quellen	0	Quellen	0	0	0	Quellen	0	nÜ	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	nÜ	Ü	Ü	Ü	Ü
durchrieseln	O	durchrieseln	0	durchrieseln	1	0	0	durchrieseln	0	durchrieseln	0	0	0	durchrieseln	0	nÜ	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	nÜ	Ü	Ü	Ü	Ü
ihn	O	ihn	0	ihn	0	0	0	ihn	0	ihn	0	0	0	ihn	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zieht	O	zieht	0	zieht	0	0	0	zieht	0	zieht	0	0	0	zieht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sich	O	sich	0	sich	0	0	0	sich	0	sich	0	0	0	sich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hinunter	O	hinunter	0	hinunter	0	0	0	hinunter	0	hinunter	0	0	0	hinunter	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
bis	O	bis	0	bis	0	0	0	bis	0	bis	0	0	0	bis	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zum	O	zum	0	zum	0	0	0	zum	0	zum	0	0	0	zum	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Taldorf	O	Taldorf	0	Tald0rf	0	0	0	Tald0rf	0	Tald0rf	0	0	0	Tald0rf	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Man	O	Man	0	Man	0	0	0	Man	0	Man	0	0	0	Man	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kann	O	kann	0	kann	0	0	0	kann	0	kann	0	0	0	kann	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kirchturm	O	Kirchturm	0	Kirchturm	0	0	0	Kirchturm	0	Kirchturm	0	0	0	Kirchturm	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sehen	O	sehen	0	sehen	0	0	0	sehen	0	sehen	0	0	0	sehen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kreuz	O	Kreuz	0	Kreuz	0	0	0	Kreuz	0	Kreuz	0	0	0	Kreuz	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
darauf	O	darauf	0	darauf	0	0	0	darauf	0	darauf	0	0	0	darauf	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Dort	O	Dort	0	D0rt	0	0	0	D0rt	0	D0rt	0	0	0	D0rt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
am	O	am	0	am	0	0	0	am	0	am	0	0	0	am	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Waldesrand	O	Waldesrand	0	Waldesrand	0	0	0	Waldesrand	0	Waldesrand	0	0	0	Waldesrand	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
bemerke	O	bemerke	0	bemerke	0	0	0	bemerke	0	bemerke	0	0	0	bemerke	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ich	O	ich	0	ich	0	0	0	ich	0	ich	0	0	0	ich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einen	O	einen	0	einen	0	0	0	einen	0	einen	0	0	0	einen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
grünen	O	grünen	0	grünen	0	0	0	grünen	0	grünen	0	0	0	grünen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Hügel	O	Hügel	0	Hügel	0	0	0	Hügel	0	Hügel	0	0	0	Hügel	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
lang	O	lang	0	lang	0	0	0	lang	0	lang	0	0	0	lang	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
schmal	O	schmal	0	schmal	0	0	0	schmal	0	schmal	0	0	0	schmal	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ganz	O	ganz	0	ganz	0	0	0	ganz	0	ganz	0	0	0	ganz	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
eingefaßt	O	eingefaßt	0	eingefaßt	0	0	0	eingefaßt	0	eingefaßt	0	0	0	eingefaßt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
mit	O	mit	0	mit	0	0	0	mit	0	mit	0	0	0	mit	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Schneeblumen	O	Schneeblumen	0	Schneeblumen	0	0	0	Schneeblumen	0	Schneeblumen	0	0	0	Schneeblumen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
›	O	›	0	›	0	0	0	›	0	›	0	0	0	›	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Sie	O	Sie	0	Sie	0	0	0	Sie	0	Sie	0	0	0	Sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
‹	O	‹	0	‹	0	0	0	‹	0	‹	0	0	0	‹	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sag	character_sound	sag	1	sag	1	1	1	sag	1	sag	1	1	1	sag	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ich	O	ich	0	ich	0	0	0	ich	0	ich	0	0	0	ich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
›	O	›	0	›	0	0	0	›	0	›	0	0	0	›	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Sie	O	Sie	0	Sie	0	0	0	Sie	0	Sie	0	0	0	Sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Jäger	O	Jäger	0	Jäger	0	0	0	Jäger	0	Jäger	0	0	0	Jäger	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
was	O	was	0	was	0	0	0	was	0	was	0	0	0	was	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ist	O	ist	0	ist	0	0	0	ist	0	ist	0	0	0	ist	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
denn	O	denn	0	denn	0	0	0	denn	0	denn	0	0	0	denn	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
?	O	?	0	?	0	0	0	?	0	?	0	0	0	?	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
‹	O	‹	0	‹	0	0	0	‹	0	‹	0	0	0	‹	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
›	O	›	0	›	0	0	0	›	0	›	0	0	0	›	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Was	O	Was	0	Was	0	0	0	Was	0	Was	0	0	0	Was	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
?	O	?	0	?	0	0	0	?	0	?	0	0	0	?	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
‹	O	‹	0	‹	0	0	0	‹	0	‹	0	0	0	‹	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sagt	character_sound	sagt	1	sagt	1	1	1	sagt	1	sagt	1	1	1	sagt	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
er	O	er	0	er	0	0	0	er	0	er	0	0	0	er	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
knotet	O	knotet	0	kn0tet	0	0	0	kn0tet	0	kn0tet	0	0	0	kn0tet	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
eine	O	eine	0	eine	0	0	0	eine	0	eine	0	0	0	eine	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
von	O	von	0	v0n	0	0	0	v0n	0	v0n	0	0	0	v0n	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Schnepfen	O	Schnepfen	0	Schnepfen	0	0	0	Schnepfen	0	Schnepfen	0	0	0	Schnepfen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
fester	O	fester	0	fester	0	0	0	fester	0	fester	0	0	0	fester	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
er	O	er	0	er	0	0	0	er	0	er	0	0	0	er	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sich	O	sich	0	sich	0	0	0	sich	0	sich	0	0	0	sich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
an	O	an	0	an	0	0	0	an	0	an	0	0	0	an	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Waldtasche	O	Waldtasche	0	Waldtasche	0	0	0	Waldtasche	0	Waldtasche	0	0	0	Waldtasche	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
angebunden	O	angebunden	0	angebunden	0	0	0	angebunden	0	angebunden	0	0	0	angebunden	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hat	O	hat	0	hat	0	0	0	hat	0	hat	0	0	0	hat	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
›	O	›	0	›	0	0	0	›	0	›	0	0	0	›	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ist	O	Ist	0	Ist	0	0	0	Ist	0	Ist	0	0	0	Ist	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nicht	O	nicht	0	nicht	0	0	0	nicht	0	nicht	0	0	0	nicht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Grab	O	Grab	0	Grab	0	0	0	Grab	0	Grab	0	0	0	Grab	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
armes	O	armes	0	armes	0	0	0	armes	0	armes	0	0	0	armes	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einsames	O	einsames	0	einsames	0	0	0	einsames	0	einsames	0	0	0	einsames	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Grab	O	Grab	0	Grab	0	0	0	Grab	0	Grab	0	0	0	Grab	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
?	O	?	0	?	0	0	0	?	0	?	0	0	0	?	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
‹	O	‹	0	‹	0	0	0	‹	0	‹	0	0	0	‹	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
›	O	›	0	›	0	0	0	›	0	›	0	0	0	›	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kann	O	Kann	0	Kann	0	0	0	Kann	0	Kann	0	0	0	Kann	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sein	O	sein	0	sein	0	0	0	sein	0	sein	0	0	0	sein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
‹	O	‹	0	‹	0	0	0	‹	0	‹	0	0	0	‹	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
brummt	character_sound	brummt	1	brummt	1	1	1	brummt	1	brummt	1	1	1	brummt	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
er	O	er	0	er	0	0	0	er	0	er	0	0	0	er	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
so	O	so	0	s0	0	0	0	s0	0	s0	0	0	0	s0	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
still	sound_quality	still	2	still	2	2	2	still	2	still	2	2	2	still	2	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
daß	O	daß	0	daß	0	0	0	daß	0	daß	0	0	0	daß	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ich	O	ich	0	ich	0	0	0	ich	0	ich	0	0	0	ich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
s	O	s	0	s	0	0	0	s	0	s	0	0	0	s	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kaum	O	kaum	0	kaum	0	0	0	kaum	0	kaum	0	0	0	kaum	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
verstanden	O	verstanden	0	verstanden	0	0	0	verstanden	0	verstanden	0	0	0	verstanden	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
habe	O	habe	0	habe	0	0	0	habe	0	habe	0	0	0	habe	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Dabei	O	Dabei	0	Dabei	0	0	0	Dabei	0	Dabei	0	0	0	Dabei	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
reißt	O	reißt	0	reißt	0	0	0	reißt	0	reißt	0	0	0	reißt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
er	O	er	0	er	0	0	0	er	0	er	0	0	0	er	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
an	O	an	0	an	0	0	0	an	0	an	0	0	0	an	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
seinem	O	seinem	0	seinem	0	0	0	seinem	0	seinem	0	0	0	seinem	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
dicken	O	dicken	0	dicken	0	0	0	dicken	0	dicken	0	0	0	dicken	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Schnurrbart	O	Schnurrbart	0	Schnurrbart	0	0	0	Schnurrbart	0	Schnurrbart	0	0	0	Schnurrbart	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
…	O	…	0	…	0	0	0	…	0	…	0	0	0	…	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
grad	O	grad	0	grad	0	0	0	grad	0	grad	0	0	0	grad	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wie	O	wie	0	wie	0	0	0	wie	0	wie	0	0	0	wie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Sie	O	Sie	0	Sie	0	0	0	Sie	0	Sie	0	0	0	Sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
jetzt	O	jetzt	0	jetzt	0	0	0	jetzt	0	jetzt	0	0	0	jetzt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
tun	O	tun	0	tun	0	0	0	tun	0	tun	0	0	0	tun	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
lieber	O	lieber	0	lieber	0	0	0	lieber	0	lieber	0	0	0	lieber	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ruppert	O	Ruppert	0	Ruppert	0	0	0	Ruppert	0	Ruppert	0	0	0	Ruppert	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Herr	O	Herr	0	Herr	0	0	0	Herr	0	Herr	0	0	0	Herr	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Oberförster	O	Oberförster	0	0berförster	0	0	0	0berförster	0	0berförster	0	0	0	0berförster	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
«	O	«	0	«	0	0	0	«	0	«	0	0	0	«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
brach	character_sound	brach	0	brach	1	1	1	brach	1	brach	1	1	1	brach	1	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	nÜ	nÜ	Ü	Ü	Ü
